1343661,005006001,조미료,유지류,[다봄] 해표 참기름,1.8L,EA,3,다봄푸드,y,,,17980,y,다봄푸드,자동발주,n,y,,,공통,,y,,
1343662,005006002,조미료,유지류,[다봄] 한식품 고추맛기름,1.8L,EA,3,다봄푸드,y,,,6680,y,다봄푸드,자동발주,n,y,,,공통,y,y,y,y
1343663,005006003,조미료,유지류,시아스 불맛 화유 5개,500ml x 5,EA,2,기본 배송비(무료배송),n,,,36800,y,쿠팡,자동발주,n,n,,,공통,y,y,y,y
1343664,010001001,토핑,과자류토핑,매직칠리 향취고추,452gx8,BOX,2,기본 배송비(무료배송),n,,,59100,y,애끼면덩,자동발주,n,y,,,공통,y,,y,
1343665,011001001,음료류,탄산음료,코카콜라 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,21070,y,,수동 묶음발주,n,y,,,공통,y,y,y,y
1343666,011001002,음료류,탄산음료,코카콜라 제로 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,20560,y,,수동 묶음발주,n,y,,,공통,y,y,y,y
1343667,011001003,음료류,탄산음료,펩시제로 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,16000,y,,수동 묶음발주,n,y,,,공통,y,,y,y
1343668,011001004,음료류,탄산음료,스프라이트 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,15000,y,,수동 묶음발주,n,y,,,공통,y,,y,y
1343669,011001005,음료류,탄산음료,스프라이트 제로 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,15000,y,,수동 묶음발주,n,y,,,공통,y,,y,y
1343670,011001006,음료류,탄산음료,닥터페퍼 제로 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,15540,y,,수동 묶음발주,n,y,,,공통,y,,y,y
1343671,011001007,음료류,탄산음료,환타파인 355ml,355mlx24,BOX,2,기본 배송비(무료배송),n,,,15500,y,,수동 묶음발주,n,y,,,공통,y,,y,y
1343672,011001008,음료류,탄산음료,트레비 탄산수 190ml,190mlx60,BOX,2,기본 배송비(무료배송),n,,,21000,y,,수동 묶음발주,n,y,,,공통,y,,y,
1343673,011001009,음료류,탄산음료,[이마트] 피코크 진저에일 250ml,250mlx6,BOX,2,이마트몰,y,,,3000,y,이마트몰,자동발주,n,y,,10,공통,y,,y,
1343674,012001001,주류,소주,참이슬,360mlx30,BOX,2,기본 배송비(무료배송),n,,,40000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343675,012001002,주류,소주,처음처럼,360mlx30,BOX,2,기본 배송비(무료배송),n,,,40000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343676,012001003,주류,소주,진로,360mlx30,BOX,2,기본 배송비(무료배송),n,,,40000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343677,012001004,주류,소주,새로,360mlx30,BOX,2,기본 배송비(무료배송),n,,,40000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343678,012002001,주류,맥주,테라생,,EA,2,기본 배송비(무료배송),n,,,70000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343679,012002002,주류,맥주,카스,,BOX,2,기본 배송비(무료배송),n,,,50000,y,,수동 묶음발주,n,y,,,공통,,,y,
1343680,012002003,주류,맥주,켈리,,BOX,2,기본 배송비(무료배송),n,,,50000,y,,수동 묶음발주,n,y,,,공통,,,y,
